timestamp,country,views,sports,devices,browsers,ip_addresses
2024-05-24 03:19:08.058170,USA,29,High Jump,Mobile,Chrome,190.1.13.41
2024-05-26 16:24:59.058170,USA,5,Shotput,Tablet,Edge,119.3.34.1
2024-05-24 00:59:30.058170,Canada,57,Gymnastics,Desktop,Edge,5.8.6.7
2024-05-24 14:21:11.058170,France,21,Basketball,Desktop,Edge,119.3.34.1
2024-05-27 03:31:29.058170,USA,65,High Jump,Desktop,Edge,102.12.29.5
2024-05-24 21:17:23.058170,Japan,67,Basketball,Tablet,Firefox,190.1.13.41
2024-05-26 17:03:14.058170,Botswana,10,Gymnastics,Desktop,Chrome,190.1.13.41
2024-05-26 13:19:07.058170,USA,73,Netball,Mobile,Firefox,190.1.13.41
2024-05-24 16:28:42.058170,Botswana,20,High Jump,Mobile,Safari,119.3.34.1
2024-05-24 07:56:49.058170,France,28,Football,Desktop,Edge,190.1.13.41
2024-05-25 20:26:01.058170,Canada,28,Football,Desktop,Firefox,102.12.29.5
2024-05-25 01:46:11.058170,Russia,68,High Jump,Mobile,Chrome,119.3.34.1
2024-05-23 22:07:52.058170,Russia,68,Gymnastics,Mobile,Edge,190.1.13.41
2024-05-24 14:08:07.058170,Japan,8,Basketball,Desktop,Firefox,190.1.13.41
2024-05-24 04:23:51.058170,Canada,92,High Jump,Tablet,Safari,190.1.13.41
2024-05-25 17:43:37.058170,Botswana,27,Shotput,Tablet,Edge,102.12.29.5
2024-05-27 06:30:19.058170,USA,76,Basketball,Mobile,Chrome,102.12.29.5
2024-05-26 13:47:42.058170,USA,23,High Jump,Desktop,Chrome,5.8.6.7
2024-05-25 11:46:15.058170,Russia,50,Shotput,Desktop,Safari,5.8.6.7
2024-05-26 23:29:07.058170,Russia,76,High Jump,Mobile,Chrome,190.1.13.41
2024-05-25 03:46:30.058170,Germany,6,Netball,Tablet,Safari,119.3.34.1
2024-05-25 01:25:49.058170,France,21,Gymnastics,Desktop,Edge,190.1.13.41
2024-05-24 20:29:40.058170,France,28,Netball,Desktop,Edge,119.3.34.1
2024-05-25 03:28:33.058170,USA,60,Gymnastics,Mobile,Chrome,119.3.34.1
2024-05-23 22:15:38.058170,Canada,62,Netball,Desktop,Chrome,102.12.29.5
2024-05-24 13:49:14.058170,USA,66,High Jump,Mobile,Edge,119.3.34.1
2024-05-26 03:07:35.058170,UK,73,Netball,Mobile,Firefox,5.8.6.7
2024-05-26 06:14:12.058170,USA,24,High Jump,Tablet,Edge,5.8.6.7
2024-05-25 00:26:25.058170,Germany,34,Football,Desktop,Chrome,119.3.34.1
2024-05-25 11:00:36.058170,Botswana,97,Netball,Desktop,Edge,190.1.13.41
2024-05-23 20:53:56.058170,UK,9,Gymnastics,Tablet,Edge,119.3.34.1
2024-05-24 02:59:39.058170,USA,71,Basketball,Mobile,Chrome,102.12.29.5
2024-05-24 01:53:55.058170,Canada,50,Football,Tablet,Chrome,119.3.34.1
2024-05-26 22:02:01.058170,USA,90,Shotput,Desktop,Chrome,119.3.34.1
2024-05-27 01:03:25.058170,Germany,45,Shotput,Desktop,Chrome,5.8.6.7
2024-05-24 02:34:10.058170,USA,89,Netball,Mobile,Chrome,102.12.29.5
2024-05-24 04:00:47.058170,France,86,Basketball,Mobile,Safari,119.3.34.1
2024-05-23 18:49:48.058170,Canada,42,Gymnastics,Desktop,Safari,119.3.34.1
2024-05-26 21:08:32.058170,Germany,40,Gymnastics,Desktop,Safari,5.8.6.7
2024-05-23 20:49:12.058170,Botswana,8,High Jump,Desktop,Safari,119.3.34.1
2024-05-26 14:43:41.058170,France,80,Shotput,Desktop,Chrome,102.12.29.5
2024-05-24 15:06:45.058170,UK,39,Basketball,Mobile,Firefox,190.1.13.41
2024-05-25 13:28:44.058170,Germany,76,Gymnastics,Mobile,Firefox,102.12.29.5
2024-05-24 05:20:19.058170,Russia,63,Football,Mobile,Firefox,190.1.13.41
2024-05-24 18:18:56.058170,Canada,35,Shotput,Tablet,Edge,102.12.29.5
2024-05-24 20:35:13.058170,Botswana,45,Basketball,Desktop,Edge,5.8.6.7
2024-05-25 12:07:57.058170,Japan,42,High Jump,Desktop,Safari,5.8.6.7
2024-05-27 03:06:10.058170,Botswana,100,Basketball,Desktop,Chrome,119.3.34.1
2024-05-24 04:05:55.058170,USA,40,High Jump,Mobile,Edge,102.12.29.5
2024-05-24 19:26:55.058170,Japan,63,Gymnastics,Desktop,Edge,119.3.34.1
2024-05-25 00:33:25.058170,Japan,78,Basketball,Tablet,Firefox,119.3.34.1
2024-05-26 17:07:55.058170,USA,49,Football,Desktop,Chrome,119.3.34.1
2024-05-26 23:25:01.058170,Germany,38,High Jump,Desktop,Firefox,102.12.29.5
2024-05-24 07:22:05.058170,UK,28,Basketball,Mobile,Edge,190.1.13.41
2024-05-27 01:30:45.058170,Japan,25,Football,Desktop,Edge,119.3.34.1
2024-05-26 02:02:26.058170,UK,30,Shotput,Tablet,Safari,102.12.29.5
2024-05-23 14:55:23.058170,Canada,56,Gymnastics,Mobile,Edge,190.1.13.41
2024-05-25 09:18:01.058170,Germany,66,Basketball,Mobile,Safari,5.8.6.7
2024-05-24 06:06:40.058170,Botswana,55,Football,Mobile,Firefox,190.1.13.41
2024-05-27 01:40:07.058170,Germany,64,Football,Mobile,Chrome,190.1.13.41
2024-05-24 09:13:33.058170,Germany,6,Gymnastics,Mobile,Chrome,102.12.29.5
2024-05-24 11:27:48.058170,UK,24,Football,Mobile,Chrome,190.1.13.41
2024-05-24 13:42:04.058170,Japan,45,Football,Mobile,Safari,5.8.6.7
2024-05-24 07:45:18.058170,Botswana,97,Gymnastics,Tablet,Firefox,102.12.29.5
2024-05-26 10:41:53.058170,Canada,91,High Jump,Desktop,Chrome,119.3.34.1
2024-05-27 03:01:55.058170,USA,96,High Jump,Mobile,Chrome,5.8.6.7
2024-05-23 22:44:11.058170,Japan,30,Shotput,Tablet,Safari,119.3.34.1
2024-05-25 17:47:45.058170,Russia,86,Shotput,Mobile,Firefox,5.8.6.7
2024-05-25 01:07:00.058170,Germany,13,Shotput,Tablet,Firefox,190.1.13.41
2024-05-25 14:33:54.058170,Botswana,75,High Jump,Desktop,Chrome,5.8.6.7
2024-05-24 18:56:38.058170,UK,52,Netball,Tablet,Firefox,119.3.34.1
